City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Byron Bay,AU,-28.65,153.6167,73.36,86,91,16.2,light rain
225,Port Blair,IN,11.6667,92.75,82.44,83,75,12.66,mist
226,Napier,NZ,-39.4833,176.9167,54.28,53,97,5.99,overcast clouds
227,Christchurch,NZ,-43.5333,172.6333,56.32,47,75,14.97,broken clouds
228,Lavrentiya,RU,65.5833,-171.0,34.16,99,100,8.43,light snow
229,Sao Filipe,CV,14.8961,-24.4956,77.52,81,10,5.73,clear sky
230,Panguna,PG,-6.3164,155.4848,77.23,83,78,2.21,moderate rain
231,Karratha,AU,-20.7377,116.8463,88.18,40,3,11.68,clear sky
232,Ribeira Grande,PT,38.5167,-28.7,65.62,68,24,14.05,few clouds
233,Saint-Georges,GD,12.0564,-61.7485,78.48,89,20,0.0,few clouds
234,Sioux Lookout,CA,50.1001,-91.917,44.67,65,75,11.5,broken clouds
235,Charlestown,AU,-32.95,151.6667,74.5,86,100,5.01,light rain
236,Alofi,NU,-19.0595,-169.9187,76.89,94,83,5.75,broken clouds
237,Bethel,US,41.3712,-73.414,56.53,76,0,4.0,clear sky
238,Milas,TR,37.3164,27.7839,61.95,48,0,6.91,clear sky
239,Sonoita,MX,31.85,-112.8333,80.42,34,0,6.22,clear sky
240,Jumla,NP,29.2747,82.1838,52.75,52,0,2.15,clear sky
241,Wollongong,AU,-34.4333,150.8833,70.25,93,100,5.53,light rain
242,Eidfjord,NO,60.4675,7.0719,39.65,70,85,8.88,overcast clouds
243,Shahreza,IR,32.0339,51.8794,55.17,32,52,3.78,broken clouds
244,Wanganui,NZ,-39.9333,175.05,56.59,56,82,13.0,broken clouds
245,Khasan,RU,42.4308,130.6434,61.56,46,64,1.19,broken clouds
246,Faanui,PF,-16.4833,-151.75,79.0,76,88,13.13,light rain
247,Chincha Alta,PE,-13.4099,-76.1323,59.59,80,8,2.59,clear sky
248,Puerto Carreno,CO,6.189,-67.4859,77.85,86,71,4.05,broken clouds
249,Antofagasta,CL,-23.65,-70.4,58.28,78,47,3.24,scattered clouds
250,Ladario,BR,-19.0047,-57.6017,72.18,98,92,2.01,overcast clouds
251,Mezhdurechensk,RU,53.6942,88.0603,37.58,99,100,2.35,moderate rain
252,Westport,US,41.1415,-73.3579,58.82,63,0,16.11,clear sky
253,Luau,AO,-10.7073,22.2247,66.79,67,100,3.44,overcast clouds
254,Henties Bay,NA,-22.116,14.2845,57.18,93,98,7.0,overcast clouds
255,Monrovia,LR,6.3005,-10.7969,75.81,86,39,2.77,scattered clouds
256,Marawi,PH,7.9986,124.2928,82.9,61,100,3.04,light rain
257,Cervo,ES,43.6702,-7.4101,62.4,64,5,17.4,clear sky
258,Tuburan,PH,6.6439,122.2736,84.29,69,72,3.94,broken clouds
259,Cidreira,BR,-30.1811,-50.2056,66.38,98,100,7.36,overcast clouds
260,Pagudpud,PH,18.5616,120.7868,78.71,92,100,11.03,moderate rain
261,Okha,RU,53.5739,142.9478,38.08,58,86,18.86,light rain
262,Souillac,MU,-20.5167,57.5167,70.18,88,40,4.61,scattered clouds
263,Maturin,VE,9.75,-63.1767,78.64,89,90,5.75,overcast clouds
264,Ahuimanu,US,21.4447,-157.8378,83.34,67,75,11.5,broken clouds
265,Port-Gentil,GA,-0.7193,8.7815,77.77,85,83,11.41,light rain
266,Sandnessjoen,NO,66.0217,12.6316,36.12,75,98,8.86,overcast clouds
267,Daru,PG,-9.0763,143.2092,85.62,69,29,7.16,scattered clouds
268,Makakilo City,US,21.3469,-158.0858,82.15,60,40,11.5,scattered clouds
269,Ngunguru,NZ,-35.6167,174.5,63.54,57,100,6.04,overcast clouds
270,Lorengau,PG,-2.0226,147.2712,86.13,65,79,6.33,broken clouds
271,Sapa,PH,5.1544,120.3241,84.78,69,100,4.38,overcast clouds
272,Poum,NC,-20.2333,164.0167,76.93,69,93,19.86,overcast clouds
273,Qusar,AZ,41.4273,48.4289,52.47,87,61,4.74,broken clouds
274,Kenai,US,60.5544,-151.2583,44.69,87,0,6.91,clear sky
275,Isla Mujeres,MX,21.2311,-86.731,76.37,69,88,13.24,overcast clouds
